Date,Price,Open,High,Low,Vol.,Change %
2014-03-12,16339.00,16336.00,16366.00,16256.00,173.32K,0.02%
2014-03-13,16116.00,16347.00,16412.00,16084.00,255.77K,-1.36%
2014-03-14,16061.00,16124.00,16169.00,16047.00,76.74K,-0.34%
2014-03-17,16235.00,16056.00,16275.00,15979.00,36.59K,1.08%
2014-03-18,16331.00,16247.00,16373.00,16200.00,42.31K,0.59%
2014-03-19,16213.00,16327.00,16364.00,16120.00,31.16K,-0.72%
2014-03-20,16339.00,16214.00,16352.00,16153.00,22.83K,0.78%
2014-03-21,16499.20,16325.00,16398.00,16317.00,3.16K,0.98%
2014-03-24,16202.00,16214.00,16303.00,16134.00,183.02K,-1.80%
2014-03-25,16298.00,16209.00,16331.00,16192.00,180.94K,0.59%
2014-03-26,16179.00,16295.00,16392.00,16170.00,193.91K,-0.73%
2014-03-27,16182.00,16203.00,16229.00,16112.00,190.51K,0.02%
2014-03-28,16240.00,16197.00,16341.00,16181.00,155.05K,0.36%
2014-03-31,16373.00,16276.00,16404.00,16276.00,136.91K,0.82%
2014-04-01,16449.00,16377.00,16488.00,16359.00,108.90K,0.46%
2014-04-02,16487.00,16452.00,16510.00,16431.00,115.12K,0.23%
2014-04-03,16501.00,16490.00,16531.00,16451.00,116.78K,0.08%
2014-04-04,16356.00,16507.00,16574.00,16312.00,245.04K,-0.88%
2014-04-07,16178.00,16354.00,16363.00,16167.00,202.70K,-1.09%
2014-04-08,16180.00,16187.00,16226.00,16107.00,169.95K,0.01%
2014-04-09,16360.00,16178.00,16371.00,16174.00,152.56K,1.11%
2014-04-10,16110.00,16366.00,16384.00,16078.00,210.43K,-1.53%
2014-04-11,15981.00,16129.00,16147.00,15939.00,231.78K,-0.80%
2014-04-14,16096.00,15947.00,16113.00,15881.00,190.50K,0.72%
2014-04-15,16205.00,16100.00,16257.00,15988.00,277.40K,0.68%
2014-04-16,16331.00,16245.00,16366.00,16222.00,163.73K,0.78%
2014-04-17,16343.00,16309.00,16386.00,16279.00,0K,0.07%
2014-04-21,16371.00,16346.00,16392.00,16334.00,49.86K,0.17%
2014-04-22,16458.00,16364.00,16498.00,16342.00,112.79K,0.53%
2014-04-23,16460.00,16455.00,16505.00,16411.00,99.05K,0.01%
2014-04-24,16431.00,16495.00,16513.00,16384.00,157.84K,-0.18%
2014-04-25,16324.00,16405.00,16414.00,16264.00,153.93K,-0.65%
2014-04-28,16397.00,16330.00,16436.00,16242.00,209.16K,0.45%
2014-04-29,16467.00,16398.00,16493.00,16390.00,124.19K,0.43%
2014-04-30,16511.00,16460.00,16526.00,16432.00,134.48K,0.27%
2014-05-01,16488.00,16515.00,16537.00,16456.00,81.62K,-0.14%
2014-05-02,16447.00,16492.00,16550.00,16418.00,163.09K,-0.25%
2014-05-05,16444.00,16449.00,16483.00,16307.00,126.42K,-0.02%
2014-05-06,16360.00,16462.00,16489.00,16333.00,129.24K,-0.51%
2014-05-07,16468.00,16360.00,16480.00,16305.00,210.45K,0.66%
2014-05-08,16510.00,16471.00,16572.00,16442.00,190.82K,0.26%
2014-05-09,16527.00,16496.00,16542.00,16451.00,141.29K,0.10%
2014-05-12,16655.00,16531.00,16670.00,16530.00,112.54K,0.77%
2014-05-13,16675.00,16664.00,16694.00,16652.00,95.14K,0.12%
2014-05-14,16587.00,16680.00,16694.00,16557.00,114.27K,-0.53%
2014-05-15,16421.00,16594.00,16619.00,16366.00,211.38K,-1.00%
2014-05-16,16465.00,16416.00,16471.00,16377.00,130.93K,0.27%
2014-05-19,16481.00,16466.00,16497.00,16387.00,101.15K,0.10%
2014-05-20,16337.00,16480.00,16505.00,16310.00,151.41K,-0.87%
2014-05-21,16499.00,16342.00,16521.00,16326.00,143.97K,0.99%
2014-05-22,16528.00,16490.00,16560.00,16467.00,98.77K,0.18%
2014-05-23,16586.00,16525.00,16593.00,16522.00,73.94K,0.35%
2014-05-26,16626.00,16599.50,16649.00,16588.50,0K,0.24%
2014-05-27,16654.00,16593.00,16666.00,16589.00,93.97K,0.17%
2014-05-28,16628.00,16656.00,16691.00,16601.00,93.98K,-0.16%
2014-05-29,16681.00,16630.00,16687.00,16608.00,78.75K,0.32%
2014-05-30,16704.00,16676.00,16708.00,16635.00,92.53K,0.14%
2014-06-02,16722.00,16704.00,16744.00,16669.00,91.66K,0.11%
2014-06-03,16713.00,16722.00,16727.00,16678.00,82.00K,-0.05%
2014-06-04,16718.00,16715.00,16733.00,16662.00,83.97K,0.03%
2014-06-05,16818.00,16721.00,16837.00,16696.00,157.90K,0.60%
2014-06-06,16932.00,16822.00,16940.00,16816.00,104.40K,0.68%
2014-06-09,16936.00,16940.00,16962.00,16908.00,78.01K,0.02%
2014-06-10,16942.00,16930.00,16953.00,16889.00,81.78K,0.04%
2014-06-11,16855.00,16944.00,16945.00,16815.00,108.35K,-0.51%
2014-06-12,16750.00,16853.00,16882.00,16704.00,126.23K,-0.62%
2014-06-13,16769.00,16751.00,16791.00,16711.00,57.56K,0.11%
2014-06-16,16774.00,16768.00,16804.00,16698.00,49.31K,0.03%
2014-06-17,16805.00,16782.00,16831.00,16727.00,52.64K,0.18%
2014-06-18,16898.00,16807.00,16913.00,16735.00,39.78K,0.55%
2014-06-19,16916.00,16895.00,16923.00,16858.00,24.89K,0.11%
2014-06-20,16977.00,16904.00,16974.00,16904.00,2.07K,0.36%
2014-06-23,16840.00,16855.00,16911.00,16808.00,95.63K,-0.81%
2014-06-24,16752.00,16829.00,16885.00,16717.00,142.75K,-0.52%
2014-06-25,16771.00,16743.00,16803.00,16699.00,129.82K,0.11%
2014-06-26,16762.00,16771.00,16800.00,16659.00,150.59K,-0.05%
2014-06-27,16757.00,16768.00,16782.00,16687.00,109.97K,-0.03%
2014-06-30,16740.00,16753.00,16787.00,16717.00,101.19K,-0.10%
2014-07-01,16876.00,16757.00,16919.00,16749.00,127.88K,0.81%
2014-07-02,16899.00,16880.00,16911.00,16873.00,74.31K,0.14%
2014-07-03,16976.00,16895.00,16994.00,16886.00,71.93K,0.46%
2014-07-04,16972.00,16977.00,16979.50,16964.50,0K,-0.02%
2014-07-07,16946.00,16968.00,16994.00,16908.00,96.81K,-0.15%
2014-07-08,16860.00,16944.00,16952.00,16796.00,148.16K,-0.51%
2014-07-09,16913.00,16860.00,16927.00,16838.00,115.99K,0.31%
2014-07-10,16842.00,16914.00,16920.00,16722.00,171.72K,-0.42%
2014-07-11,16881.00,16836.00,16893.00,16786.00,104.40K,0.23%
2014-07-14,16978.00,16878.00,17017.00,16877.00,92.37K,0.57%
2014-07-15,16988.00,16981.00,17045.00,16932.00,155.71K,0.06%
2014-07-16,17057.00,17003.00,17069.00,16991.00,112.02K,0.41%
2014-07-17,16941.00,17041.00,17085.00,16888.00,225.01K,-0.68%
2014-07-18,17032.00,16889.00,17050.00,16835.00,155.63K,0.54%
2014-07-21,16983.00,17021.00,17029.00,16908.00,129.46K,-0.29%
2014-07-22,17033.00,16979.00,17069.00,16976.00,118.91K,0.29%
2014-07-23,17025.00,17022.00,17067.00,16992.00,113.53K,-0.05%
2014-07-24,16998.00,17031.00,17063.00,16965.00,119.19K,-0.16%
2014-07-25,16891.00,16977.00,17005.00,16846.00,153.13K,-0.63%
2014-07-28,16916.00,16893.00,16938.00,16808.00,131.72K,0.15%
2014-07-29,16845.00,16914.00,16993.00,16840.00,152.80K,-0.42%
2014-07-30,16821.00,16848.00,16926.00,16751.00,197.89K,-0.14%
2014-07-31,16494.00,16822.00,16822.00,16488.00,259.86K,-1.94%
2014-08-01,16416.00,16509.00,16549.00,16370.00,264.17K,-0.47%
2014-08-04,16486.00,16429.00,16528.00,16378.00,137.61K,0.43%
2014-08-05,16366.00,16488.00,16500.00,16299.00,208.32K,-0.73%
2014-08-06,16395.00,16369.00,16442.00,16272.00,162.86K,0.18%
2014-08-07,16321.00,16393.00,16459.00,16280.00,189.17K,-0.45%
2014-08-08,16479.00,16322.00,16502.00,16208.00,190.97K,0.97%
2014-08-11,16515.00,16479.00,16581.00,16474.00,123.13K,0.22%
2014-08-12,16519.00,16525.00,16560.00,16465.00,116.95K,0.02%
2014-08-13,16619.00,16537.00,16634.00,16519.00,104.07K,0.61%
2014-08-14,16682.00,16626.00,16692.00,16597.00,88.75K,0.38%
2014-08-15,16631.00,16687.00,16742.00,16537.00,192.44K,-0.31%
2014-08-18,16793.00,16666.00,16815.00,16657.00,97.40K,0.97%
